dataset,attack,row_percent,metric,clean,poisoned_mean,poisoned_std,delta_mean,delta_std,relative_pct,relative_unstable,n_runs
coil2000_insurance_policies,x-capgd,1,ce,0.2024606835018946,0.20422474583090716,0.0003876198742466394,0.0017640623290125612,0.00038761987424663945,0.8713110607453092,False,5
coil2000_insurance_policies,x-capgd,1,roc_auc,0.737090005223437,0.7277130351771466,0.0020670073404832753,-0.009376970046290433,0.0020670073404832753,-1.2721607917404816,False,5
coil2000_insurance_policies,x-capgd,1,accuracy,0.941,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,1,balanced_accuracy,0.5,0.5,0.0,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,1,mcc,0.0,0.0,0.0,0.0,0.0,,True,5
coil2000_insurance_policies,x-capgd,4,ce,0.2024606835018946,0.20474698116677165,0.0009408333901862937,0.002286297664877057,0.0009408333901862937,1.1292551350374465,False,5
coil2000_insurance_policies,x-capgd,4,roc_auc,0.737090005223437,0.7278463228804555,0.004220056565032245,-0.009243682342981719,0.004220056565032245,-1.2540778300446016,False,5
coil2000_insurance_policies,x-capgd,4,accuracy,0.941,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,4,balanced_accuracy,0.5,0.5,0.0,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,4,mcc,0.0,0.0,0.0,0.0,0.0,,True,5
coil2000_insurance_policies,x-capgd,16,ce,0.2024606835018946,0.20603498405609214,0.00044037888545615887,0.0035743005541975293,0.0004403788854561588,1.7654294613522241,False,5
coil2000_insurance_policies,x-capgd,16,roc_auc,0.737090005223437,0.72624687044075,0.002567810427017354,-0.010843134782687058,0.002567810427017354,-1.471073370395266,False,5
coil2000_insurance_policies,x-capgd,16,accuracy,0.941,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,16,balanced_accuracy,0.5,0.5,0.0,0.0,0.0,0.0,False,5
coil2000_insurance_policies,x-capgd,16,mcc,0.0,0.0,0.0,0.0,0.0,,True,5
coil2000_insurance_policies,x-capgd,64,ce,0.2024606835018946,0.21710182365861597,0.009389268805749808,0.014641140156721393,0.009389268805749808,7.231596724597831,False,5
coil2000_insurance_policies,x-capgd,64,roc_auc,0.737090005223437,0.7106089807093068,0.020008871232179957,-0.026481024514130303,0.020008871232179957,-3.592644633148024,False,5
coil2000_insurance_policies,x-capgd,64,accuracy,0.941,0.9404,0.0008000000000000007,-0.0006000000000000005,0.0008000000000000007,-0.06376195536663129,False,5
coil2000_insurance_policies,x-capgd,64,balanced_accuracy,0.5,0.501269835551793,0.003098478302411066,0.001269835551793086,0.003098478302411066,0.2539671103586172,False,5
coil2000_insurance_policies,x-capgd,64,mcc,0.0,0.010531359653667534,0.027018470149957372,0.010531359653667534,0.027018470149957372,,True,5
coil2000_insurance_policies,label-flip,1,ce,0.2024606835018946,0.21252574100236923,0.0007326561135979364,0.010065057500474633,0.0007326561135979364,4.971363983556069,False,5
coil2000_insurance_policies,label-flip,1,roc_auc,0.737090005223437,0.6961706803076424,0.009710425684270047,-0.0409193249157946,0.009710425684270047,-5.5514692406377915,False,5
coil2000_insurance_policies,label-flip,1,accuracy,0.941,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,False,5
coil2000_insurance_policies,label-flip,1,balanced_accuracy,0.5,0.5,0.0,0.0,0.0,0.0,False,5
coil2000_insurance_policies,label-flip,1,mcc,0.0,0.0,0.0,0.0,0.0,,True,5
coil2000_insurance_policies,label-flip,4,ce,0.2024606835018946,0.24602262451668971,0.0009239120254850236,0.04356194101479508,0.0009239120254850237,21.516247135650627,False,5
coil2000_insurance_policies,label-flip,4,roc_auc,0.737090005223437,0.6353770781174012,0.006066813088528008,-0.10171292710603586,0.006066813088528008,-13.799254688740925,False,5
coil2000_insurance_policies,label-flip,4,accuracy,0.941,0.9356,0.0014966629547095423,-0.005399999999999916,0.0014966629547095423,-0.5738575982996723,False,5
coil2000_insurance_policies,label-flip,4,balanced_accuracy,0.5,0.5034852933230065,0.0031705361808512986,0.003485293323006533,0.003170536180851299,0.6970586646013066,False,5
coil2000_insurance_policies,label-flip,4,mcc,0.0,0.01934066106694939,0.020127187454890536,0.01934066106694939,0.020127187454890536,,True,5
coil2000_insurance_policies,label-flip,16,ce,0.2024606835018946,0.45273687100481663,0.007453785191848317,0.25027618750292197,0.007453785191848318,123.61717997488627,False,5
