
======================================================================================================================
DEPLOYED PATH (ordinary fit + predict_proba -- what a user sees)
======================================================================================================================

TABLE 1 -- one poisoned row: budget and constraint sweep
                model     dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new    mcc%  auc_old  auc_new  auc%  moved  ofcells
  TabPFNv2/simple/ne1  url_unique  5000  1000     4  0.5  full    100    0.0834    0.0877     +5.2   0.9720   0.9680   -0.4    0.9721    0.9681   -0.4   0.9440   0.9361   -0.8   0.9948   0.9942  -0.1    117      252
  TabPFNv2/simple/ne1  url_unique  5000  1000     8  0.5  full    100    0.0834    0.0888     +6.5   0.9720   0.9690   -0.3    0.9721    0.9691   -0.3   0.9440   0.9382   -0.6   0.9948   0.9941  -0.1    228      504
  TabPFNv2/simple/ne1  url_unique  5000  1000    16  0.5  full    100    0.0834    0.0879     +5.3   0.9720   0.9720   +0.0    0.9721    0.9721   +0.0   0.9440   0.9441   +0.0   0.9948   0.9942  -0.1    459     1008
  TabPFNv2/simple/ne1  url_unique  5000  1000    32  0.5  full    100    0.0834    0.0883     +5.8   0.9720   0.9710   -0.1    0.9721    0.9711   -0.1   0.9440   0.9422   -0.2   0.9948   0.9940  -0.1    979     2016
  TabPFNv2/simple/ne1  url_unique  5000  1000    64  0.5  full    100    0.0834    0.0888     +6.4   0.9720   0.9730   +0.1    0.9721    0.9732   +0.1   0.9440   0.9463   +0.2   0.9948   0.9942  -0.1   1938     4032
  TabPFNv2/simple/ne1  url_unique  5000  1000   128  0.5  full    100    0.0834    0.0900     +7.8   0.9720   0.9690   -0.3    0.9721    0.9692   -0.3   0.9440   0.9384   -0.6   0.9948   0.9942  -0.1   3942     8064
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  none    100    0.0834    0.0881     +5.6   0.9720   0.9690   -0.3    0.9721    0.9692   -0.3   0.9440   0.9382   -0.6   0.9948   0.9942  -0.1     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     2  0.5  none    100    0.0834    0.0927    +11.2   0.9720   0.9690   -0.3    0.9721    0.9692   -0.3   0.9440   0.9382   -0.6   0.9948   0.9935  -0.1    124      126
  TabPFNv2/simple/ne1  url_unique  5000  1000     4  0.5  none    100    0.0834    0.0969    +16.2   0.9720   0.9720   +0.0    0.9721    0.9722   +0.0   0.9440   0.9444   +0.0   0.9948   0.9934  -0.1    248      252
  TabPFNv2/simple/ne1  url_unique  5000  1000     8  0.5  none    100    0.0834    0.1048    +25.6   0.9720   0.9640   -0.8    0.9721    0.9642   -0.8   0.9440   0.9284   -1.7   0.9948   0.9924  -0.2    496      504
  TabPFNv2/simple/ne1  url_unique  5000  1000    16  0.5  none    100    0.0834    0.1097    +31.5   0.9720   0.9630   -0.9    0.9721    0.9633   -0.9   0.9440   0.9266   -1.8   0.9948   0.9924  -0.2    992     1008
  TabPFNv2/simple/ne1  url_unique  5000  1000    32  0.5  none    100    0.0834    0.5127   +514.5   0.9720   0.7570  -22.1    0.9721    0.7607  -21.7   0.9440   0.5837  -38.2   0.9948   0.9797  -1.5   1984     2016
  TabPFNv2/simple/ne1  url_unique  5000  1000    64  0.5  none    100    0.0834    1.4154  +1596.5   0.9720   0.4970  -48.9    0.9721    0.5049  -48.1   0.9440   0.0698  -92.6   0.9948   0.9755  -1.9   3968     4032
  TabPFNv2/simple/ne1  url_unique  5000  1000   128  0.5  none    100    0.0834    1.3868  +1562.2   0.9720   0.4980  -48.8    0.9721    0.5059  -48.0   0.9440   0.0765  -91.9   0.9948   0.9813  -1.3   7936     8064

TABLE 4 -- wids: poisoned-row ablation (100 iterations, eps 0.5)
                model  dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new   mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  -------  ----  ----  ----  ---  ----  -----  --------  --------  -----  -------  -------  ----  --------  --------  -----  -------  -------  -----  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1     wids  5000  1000     1  0.5  full    100    0.2108    0.2130   +1.1   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460   +2.5   0.8759   0.8736  -0.3     93      108
  TabPFNv2/simple/ne1     wids  5000  1000     2  0.5  full    100    0.2108    0.2148   +1.9   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460   +2.5   0.8759   0.8713  -0.5    180      216
  TabPFNv2/simple/ne1     wids  5000  1000     4  0.5  full    100    0.2108    0.2178   +3.3   0.9260   0.9250  -0.1    0.6490    0.6484   -0.1   0.4351   0.4284   -1.5   0.8759   0.8693  -0.7    360      432
  TabPFNv2/simple/ne1     wids  5000  1000     8  0.5  full    100    0.2108    0.2209   +4.8   0.9260   0.9280  +0.2    0.6490    0.6551   +0.9   0.4351   0.4529   +4.1   0.8759   0.8670  -1.0    721      864
  TabPFNv2/simple/ne1     wids  5000  1000    16  0.5  full    100    0.2108    0.2319  +10.0   0.9260   0.9220  -0.4    0.6490    0.6418   -1.1   0.4351   0.4045   -7.0   0.8759   0.8582  -2.0   1411     1728
  TabPFNv2/simple/ne1     wids  5000  1000    32  0.5  full    100    0.2108    0.2414  +14.5   0.9260   0.9170  -1.0    0.6490    0.6140   -5.4   0.4351   0.3456  -20.6   0.8759   0.8514  -2.8   2826     3456
  TabPFNv2/simple/ne1     wids  5000  1000    64  0.5  full    100    0.2108    0.2454  +16.4   0.9260   0.9130  -1.4    0.6490    0.5867   -9.6   0.4351   0.2865  -34.2   0.8759   0.8517  -2.8   5676     6912
  TabPFNv2/simple/ne1     wids  5000  1000   128  0.5  full    100    0.2108    0.2401  +13.9   0.9260   0.9170  -1.0    0.6490    0.6140   -5.4   0.4351   0.3456  -20.6   0.8759   0.8607  -1.7  11334    13824
  TabPFNv2/simple/ne1     wids  5000  1000     1  0.5  none    100    0.2108    0.2126   +0.9   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460   +2.5   0.8759   0.8737  -0.3    106      108
  TabPFNv2/simple/ne1     wids  5000  1000     2  0.5  none    100    0.2108    0.2156   +2.3   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460   +2.5   0.8759   0.8711  -0.5    212      216
  TabPFNv2/simple/ne1     wids  5000  1000     4  0.5  none    100    0.2108    0.2210   +4.9   0.9260   0.9250  -0.1    0.6490    0.6484   -0.1   0.4351   0.4284   -1.5   0.8759   0.8671  -1.0    424      432
  TabPFNv2/simple/ne1     wids  5000  1000     8  0.5  none    100    0.2108    0.2264   +7.4   0.9260   0.9280  +0.2    0.6490    0.6551   +0.9   0.4351   0.4529   +4.1   0.8759   0.8621  -1.6    848      864
  TabPFNv2/simple/ne1     wids  5000  1000    16  0.5  none    100    0.2108    0.2388  +13.3   0.9260   0.9230  -0.3    0.6490    0.6323   -2.6   0.4351   0.4012   -7.8   0.8759   0.8537  -2.5   1696     1728
  TabPFNv2/simple/ne1     wids  5000  1000    32  0.5  none    100    0.2108    0.2600  +23.4   0.9260   0.9220  -0.4    0.6490    0.6318   -2.7   0.4351   0.3944   -9.4   0.8759   0.8457  -3.5   3392     3456
  TabPFNv2/simple/ne1     wids  5000  1000    64  0.5  none    100    0.2108    0.3132  +48.6   0.9260   0.9070  -2.1    0.6490    0.5684  -12.4   0.4351   0.2260  -48.1   0.8759   0.8013  -8.5   6784     6912
  TabPFNv2/simple/ne1     wids  5000  1000   128  0.5  none    100    0.2108    0.3573  +69.5   0.9260   0.9140  -1.3    0.6490    0.5723  -11.8   0.4351   0.2703  -37.9   0.8759   0.8381  -4.3  13568    13824


tidy CSV (all 63 runs x 2 paths): results/tables/all_runs.csv
'~' on mcc% marks a clean |MCC| < 0.15 where the percentage is noise;
read those from the absolute mcc_old / mcc_new columns instead.
