path,model,dataset,ctx,test,rows,eps,cons,iters,loss_old,loss_new,loss_pct,acc_old,acc_new,acc_pct,bacc_old,bacc_new,bacc_pct,mcc_old,mcc_new,mcc_pct,auc_old,auc_new,auc_pct,cells_moved,cells_total,pct_ctx,run
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,4,0.5,none,100,0.44870463013648987,0.4527110755443573,0.8928914788886234,0.802,0.802,0.0,0.5185313955914053,0.5204468016511685,0.3693905665207915,0.10280826148961943,0.10850133094698662,5.5375602844349485,0.7243142783091326,0.7205846097439171,-0.5149240705184202,112,112,0.08,lcld_v2/abl_rows004_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,4,0.5,none,100,0.44993922114372253,0.4527110755443573,0.6160508509546808,0.804,0.802,-0.24875621890547284,0.52552,0.52045,-0.9647587151773518,0.13004,0.1085,-16.56413411258074,0.72244,0.72058,-0.2574608271967185,112,112,0.08,lcld_v2/abl_rows004_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,8,0.5,full,100,0.44870463013648987,0.44961151480674744,0.20211172547555534,0.802,0.802,0.0,0.5185313955914053,0.5166159895316421,-0.36939056652077007,0.10280826148961943,0.09681347015481255,-5.831040470820695,0.7243142783091326,0.7219563691992591,-0.32553674288707113,98,224,0.16,lcld_v2/abl_rows008_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,8,0.5,full,100,0.4499392509460449,0.4546040892601013,1.0367706983216245,0.804,0.805,0.12437810945273642,0.52552,0.52423,-0.24547115238240474,0.13004,0.1314,1.0458320516764075,0.72244,0.71787,-0.6325784840263501,98,224,0.16,lcld_v2/abl_rows008_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,8,0.5,none,100,0.44870463013648987,0.4562828242778778,1.6889048234431536,0.802,0.805,0.3740648379052372,0.5185313955914053,0.5242302027296116,1.0990283687078681,0.10280826148961943,0.1314005434496044,27.811268808267837,0.7243142783091326,0.7165641534600578,-1.0699947634840339,224,224,0.16,lcld_v2/abl_rows008_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,8,0.5,none,100,0.4499392509460449,0.4562828540802002,1.4098799161925029,0.804,0.805,0.12437810945273642,0.52552,0.52423,-0.24547115238240474,0.13004,0.1314,1.0458320516764075,0.72244,0.71656,-0.8139084214606053,224,224,0.16,lcld_v2/abl_rows008_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,16,0.5,full,100,0.44870463013648987,0.45004400610923767,0.2984983623503913,0.802,0.801,-0.12468827930174574,0.5185313955914053,0.5140779184656522,-0.8588635449303303,0.10280826148961943,0.08423010276104065,-18.070686595993667,0.7243142783091326,0.7221460133635921,-0.29935416303020385,203,448,0.32,lcld_v2/abl_rows016_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,16,0.5,full,100,0.44993916153907776,0.45769771933555603,1.72435708195283,0.804,0.804,0.0,0.52552,0.52361,-0.3634495356979691,0.13004,0.12527,-3.6681021224238672,0.72244,0.71448,-1.1018216045623122,203,448,0.32,lcld_v2/abl_rows016_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,16,0.5,none,100,0.44870463013648987,0.45968642830848694,2.447444807658115,0.802,0.807,0.6234413965087288,0.5185313955914053,0.5254755327420649,1.3391931924854057,0.10280826148961943,0.14474918275510146,40.795283042225954,0.7243142783091326,0.7098950003476808,-1.9907488217839275,448,448,0.32,lcld_v2/abl_rows016_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,16,0.5,none,100,0.44993916153907776,0.45968642830848694,2.1663521654944047,0.804,0.807,0.37313432835820926,0.52552,0.52548,-0.007611508601012331,0.13004,0.14475,11.311904029529376,0.72244,0.7099,-1.7357842865843525,448,448,0.32,lcld_v2/abl_rows016_none_it100
