dataset,attack,row_percent,protocol,metric,clean_mean,clean_std,poisoned_mean,poisoned_std,delta_mean,delta_std,relative_pct,tabpfn_delta_mean,tabpfn_delta_std,transfer_pct,n_contexts
coil2000_insurance_policies,x-capgd,1,A,ce,0.20282625989298908,0.004243366056292646,0.20377748666841625,0.002356391930591113,0.0009512267754271497,0.002541140319095912,0.4689860060176705,0.0017640623290125612,0.00038761987424663945,53.92251508253688,5
coil2000_insurance_policies,x-capgd,1,A,roc_auc,0.7358940182640177,0.02189996271955662,0.7348385237486267,0.009532703435000827,-0.0010554945153910867,0.012525216137211201,-0.14343023440807554,-0.009376970046290433,0.0020670073404832753,11.256242796772552,5
coil2000_insurance_policies,x-capgd,1,A,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9405999999999999,0.000489897948556636,-0.00040000000000000034,0.000489897948556636,-0.042507970244420865,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,1,A,balanced_accuracy,0.5,0.0,0.4997874601487779,0.0002603070927505901,-0.00021253985122209328,0.0002603070927505901,-0.04250797024441866,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,1,A,mcc,0.0,0.0,-0.003168899320045353,0.00388109319018184,-0.003168899320045353,0.00388109319018184,,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,1,B,ce,0.19924394890607927,0.0015227821487347364,0.19925983392737773,0.00020201515504517833,1.5885021298439606e-05,0.0014856679898099382,0.007972649300344662,0.0017640623290125612,0.00038761987424663945,0.9004795940136249,5
coil2000_insurance_policies,x-capgd,1,B,roc_auc,0.753279057619914,0.005805604592610131,0.7523100199931555,0.002978960996106916,-0.0009690376267584178,0.004709927389127148,-0.1286425816509783,-0.009376970046290433,0.0020670073404832753,10.334229734921388,5
coil2000_insurance_policies,x-capgd,1,B,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,1,B,balanced_accuracy,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,1,B,mcc,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,A,ce,0.20282625989298908,0.004243366056292646,0.2036557577030676,0.0021048457202386887,0.0008294978100785166,0.005583469298695734,0.40896963268768,0.002286297664877057,0.0009408333901862937,36.28126918124293,5
coil2000_insurance_policies,x-capgd,4,A,roc_auc,0.7358940182640177,0.02189996271955662,0.7406023163241413,0.0037909578326821756,0.004708298060123584,0.02313563251073586,0.6398065405165967,-0.009243682342981719,0.004220056565032245,-50.935307872174626,5
coil2000_insurance_policies,x-capgd,4,A,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9401999999999999,0.0011661903789690613,-0.0008000000000000007,0.001166190378969061,-0.08501594048884173,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,A,balanced_accuracy,0.5,0.0,0.4995749202975558,0.0006196548241068225,-0.00042507970244419767,0.0006196548241068225,-0.08501594048883954,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,A,mcc,0.0,0.0,-0.004331548199284735,0.0056145209720048,-0.004331548199284735,0.0056145209720048,,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,B,ce,0.19924394890607927,0.0015227821487347364,0.19948421962477725,0.0006586616150138868,0.00024027071869796025,0.0014772649088432876,0.12059122498682276,0.002286297664877057,0.0009408333901862937,10.509161706679192,5
coil2000_insurance_policies,x-capgd,4,B,roc_auc,0.753279057619914,0.005805604592610131,0.7518056881427979,0.0038294230515421475,-0.00147336947711596,0.006599776000008331,-0.19559411113475902,-0.009243682342981719,0.004220056565032245,15.939204988308779,5
coil2000_insurance_policies,x-capgd,4,B,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,B,balanced_accuracy,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,4,B,mcc,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,A,ce,0.20282625989298908,0.004243366056292646,0.20338959547010022,0.002283623553629469,0.0005633355771111515,0.004667390594675196,0.2777429201762961,0.0035743005541975293,0.0004403788854561588,15.760722092874664,5
coil2000_insurance_policies,x-capgd,16,A,roc_auc,0.7358940182640177,0.02189996271955662,0.7443848052018227,0.0067607864220567675,0.008490786937805073,0.02127364817427056,1.153805674060911,-0.010843134782687058,0.002567810427017354,-78.30564784053118,5
coil2000_insurance_policies,x-capgd,16,A,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9398,0.001166190378969061,-0.001200000000000001,0.0011661903789690613,-0.12752391073326258,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,A,balanced_accuracy,0.5,0.0,0.49936238044633374,0.0006196548241068264,-0.0006376195536663021,0.0006196548241068263,-0.12752391073326041,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,A,mcc,0.0,0.0,-0.006573420736649256,0.005674967641823544,-0.006573420736649256,0.005674967641823544,,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,B,ce,0.19924394890607927,0.0015227821487347364,0.19949101328470908,0.0012842830625618554,0.00024706437862981323,0.0014430182168392992,0.12400094456383005,0.0035743005541975293,0.0004403788854561588,6.912244084781,5
coil2000_insurance_policies,x-capgd,16,B,roc_auc,0.753279057619914,0.005805604592610131,0.7506367189610763,0.00450340746018324,-0.00264233865883754,0.006235581347560817,-0.35077819197394955,-0.010843134782687058,0.002567810427017354,24.368770764119716,5
coil2000_insurance_policies,x-capgd,16,B,accuracy,0.9410000000000001,1.1102230246251565e-16,0.9410000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,B,balanced_accuracy,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,5
coil2000_insurance_policies,x-capgd,16,B,mcc,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5
